Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;1988;1988;1988;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;11253162;;;;11253162;;1264691;;;0
S3;1988;1988;1988;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3304736;;;;3304736;;691577;;;0
S3;1988;1988;1988;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;713500;;;;713500;;141909;;;0
S3;1988;1988;1988;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;6187;;;;6187;;1703;;;0
S3;1988;1988;1988;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;7000;;;;7000;;15893;;;0
S3;1988;1988;1988;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;232101;;;;232101;;76824;;;0
S3;1989;1989;1989;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;10353173;;;;10353173;;1175061;;;0
S3;1989;1989;1989;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4204523;;;;4204523;;813010;;;0
S3;1989;1989;1989;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;469687;;;;469687;;96298;;;0
S3;1989;1989;1989;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;2625;;;;2625;;755;;;0
