Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;2016;2016;2016;3;0;2;Export;4;Afghanistan;AFG;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;90823;;;;102865;;90720;;;6
S3;2016;2016;2016;3;0;2;Export;8;Albania;ALB;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;6803920;;;;7037175;;2782667;;;0
S3;2016;2016;2016;3;0;2;Export;12;Algeria;DZA;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;13653299;;;;13653299;;6649591;;;2
S3;2016;2016;2016;3;0;2;Export;20;Andorra;AND;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;921992;;;;921992;;104764;;;2
S3;2016;2016;2016;3;0;2;Export;24;Angola;AGO;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;2706639;;;;14163390;;28288170;;;6
S3;2016;2016;2016;3;0;2;Export;28;Antigua and Barbuda;ATG;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;1446220;;;;1446220;;359567;;;2
S3;2016;2016;2016;3;0;2;Export;31;Azerbaijan;AZE;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;964120;;;;1268726;;590819;;;0
S3;2016;2016;2016;3;0;2;Export;32;Argentina;ARG;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;47859946;;;;48481642;;29117050;;;0
S3;2016;2016;2016;3;0;2;Export;36;Australia;AUS;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;89898017;;;;80400702;;66667307;;;0
S3;2016;2016;2016;3;0;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;111;NON-ALCOHOL.BEVERAGE,NES;7;Volume in litres;1526951784;;;;1526951892;;1950875438;;;6
