Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;2016;2016;2016;5;1;1;Import;8;Albania;ALB;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;9832340;;;;9864960;;2379351;;;0
S3;2016;2016;2016;5;1;2;Export;8;Albania;ALB;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;6374120;;;;6602005;;2070559;;;0
S3;2016;2016;2016;5;1;1;Import;12;Algeria;DZA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;181763;;;;181763;;170600;;;2
S3;2016;2016;2016;5;1;2;Export;12;Algeria;DZA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;232835;;;;232835;;67891;;;2
S3;2016;2016;2016;5;1;1;Import;20;Andorra;AND;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;15356444;;;;15356444;;4821695;;;2
S3;2016;2016;2016;5;1;2;Export;20;Andorra;AND;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;918689;;;;918689;;99771;;;2
S3;2016;2016;2016;5;1;1;Import;24;Angola;AGO;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8188159;;;;14999970;;2065378;;;0
S3;2016;2016;2016;5;1;2;Export;24;Angola;AGO;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;179468;;;;1372669;;887981;;;0
S3;2016;2016;2016;5;1;1;Import;28;Antigua and Barbuda;ATG;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;1179290;;;;1179290;;776835;;;2
S3;2016;2016;2016;5;1;2;Export;28;Antigua and Barbuda;ATG;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;1446101;;;;1446101;;358535;;;2
S3;2016;2016;2016;5;1;1;Import;31;Azerbaijan;AZE;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8321432;;;;10294583;;4348752;;;0
S3;2016;2016;2016;5;1;2;Export;31;Azerbaijan;AZE;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;605938;;;;798186;;304844;;;0
S3;2016;2016;2016;5;1;1;Import;32;Argentina;ARG;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;675003;;;;675004;;705387;;;0
S3;2016;2016;2016;5;1;2;Export;32;Argentina;ARG;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;80943;;;;80465;;46467;;;0
